OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice,MSZoning_NaN,Neighborhood_NridgHt,Exterior1st_NaN,Exterior2nd_NaN,MasVnrType_None,Foundation_PConc,GarageType_Detchd,GarageFinish_Fin,GarageFinish_Unf,SaleType_NaN,SaleType_New,SaleCondition_Partial
5,1965,1965,0.0,2.0,2.0,3.0,906.0,1040.0,4.0,1040,1040,1,2.0,5,0,1.0,384.0,129500.0,0,0,0,0,1,0,1,0,1,0,0,0
9,2005,2006,286.0,4.0,4.0,3.0,998.0,1175.0,4.0,1182,2324,3,4.0,11,2,3.0,736.0,345000.0,0,1,0,0,0,1,0,1,0,0,1,1
5,1962,1962,0.0,2.0,2.0,3.0,737.0,912.0,2.0,912,912,1,2.0,4,0,1.0,352.0,144000.0,0,0,0,0,1,0,1,0,1,0,0,0
7,2006,2007,306.0,3.0,3.0,1.0,0.0,1494.0,4.0,1494,1494,2,3.0,7,1,3.0,840.0,279500.0,0,0,0,0,0,1,0,0,0,0,1,1
6,1960,1960,212.0,2.0,2.0,3.0,733.0,1253.0,2.0,1253,1253,1,2.0,5,1,1.0,352.0,157000.0,0,0,0,0,0,0,0,0,0,0,0,0
7,1929,2001,0.0,2.0,2.0,3.0,0.0,832.0,4.0,854,854,1,2.0,5,0,2.0,576.0,132000.0,0,0,0,0,1,0,1,0,1,0,0,0
6,1970,1970,180.0,2.0,2.0,3.0,578.0,1004.0,4.0,1004,1004,1,2.0,5,1,2.0,480.0,149000.0,0,0,0,0,0,0,0,1,0,0,0,0
4,1967,1967,0.0,2.0,5.0,4.0,0.0,0.0,2.0,1296,1296,2,2.0,6,0,2.0,516.0,90000.0,0,0,0,0,1,0,0,0,1,0,0,0
5,2004,2004,0.0,2.0,2.0,3.0,646.0,1114.0,4.0,1114,1114,1,3.0,6,0,2.0,576.0,159000.0,0,0,0,0,1,1,1,0,1,0,0,0
5,1958,1965,0.0,2.0,2.0,3.0,504.0,1029.0,2.0,1339,1339,1,2.0,6,0,1.0,294.0,139000.0,0,0,0,0,1,0,0,0,1,0,0,0
8,2005,2006,380.0,3.0,4.0,1.0,0.0,1158.0,4.0,1158,2376,3,3.0,9,1,3.0,853.0,325300.0,0,1,0,0,0,1,0,0,0,0,1,1
7,1930,1950,0.0,2.0,2.0,3.0,0.0,637.0,4.0,1108,1108,1,3.0,6,1,1.0,280.0,139400.0,0,0,0,0,1,1,0,0,1,0,0,0
8,2002,2002,281.0,3.0,3.0,3.0,0.0,1777.0,4.0,1795,1795,2,3.0,7,1,2.0,534.0,230000.0,0,0,0,0,0,1,0,0,0,0,0,0
5,1976,1976,0.0,2.0,3.0,3.0,840.0,1040.0,2.0,1060,1060,1,2.0,6,1,2.0,572.0,129900.0,0,0,0,0,1,1,0,0,1,0,0,0
5,1968,2001,0.0,2.0,2.0,2.0,188.0,1060.0,4.0,1060,1060,1,3.0,6,1,1.0,270.0,154000.0,0,0,0,0,1,0,0,0,1,0,0,0
8,2007,2007,640.0,3.0,3.0,3.0,0.0,1566.0,4.0,1600,1600,2,3.0,7,1,3.0,890.0,256300.0,0,1,0,0,0,1,0,0,0,0,0,0
5,1951,2000,0.0,2.0,2.0,2.0,234.0,900.0,2.0,900,900,1,3.0,5,0,2.0,576.0,134800.0,0,0,0,0,1,0,1,0,1,0,0,0
8,2007,2008,200.0,3.0,4.0,3.0,1218.0,1704.0,4.0,1704,1704,2,3.0,7,1,3.0,772.0,306000.0,0,1,0,0,0,1,0,0,0,0,0,0
5,1957,1997,0.0,2.0,2.0,0.0,1277.0,1484.0,2.0,1600,1600,1,2.0,6,2,1.0,319.0,207500.0,0,0,0,0,1,0,0,0,0,0,0,0
4,1927,1950,0.0,2.0,2.0,3.0,0.0,520.0,1.0,520,520,1,1.0,4,0,1.0,240.0,68500.0,0,0,0,0,1,0,1,0,1,0,0,0
4,1920,1950,0.0,2.0,2.0,3.0,0.0,649.0,2.0,649,1317,1,2.0,6,0,1.0,250.0,40000.0,0,0,0,0,1,0,1,0,1,0,0,0
5,1966,2006,0.0,2.0,2.0,3.0,0.0,1228.0,3.0,1228,1228,1,3.0,6,0,1.0,271.0,149350.0,0,0,0,0,1,0,0,0,1,0,0,0
8,2007,2007,0.0,3.0,4.0,1.0,0.0,1234.0,4.0,1234,1234,2,3.0,7,0,2.0,484.0,179900.0,0,0,0,0,1,1,0,0,0,0,0,0
5,1959,1959,0.0,2.0,2.0,3.0,1018.0,1398.0,3.0,1700,1700,1,3.0,6,1,2.0,447.0,165500.0,0,0,0,0,1,0,0,0,0,0,0,0
9,2005,2005,246.0,4.0,4.0,3.0,1153.0,1561.0,4.0,1561,1561,2,4.0,6,1,2.0,556.0,277500.0,0,1,0,0,0,1,0,1,0,0,0,0
8,2004,2005,132.0,3.0,4.0,1.0,0.0,1117.0,4.0,1132,2452,3,3.0,9,1,3.0,691.0,309000.0,0,1,0,0,0,1,0,1,0,0,0,0
5,1994,1995,0.0,2.0,3.0,3.0,0.0,1097.0,4.0,1097,1097,1,2.0,6,0,2.0,672.0,145000.0,0,0,0,0,1,1,0,0,1,0,0,0
5,1954,1990,650.0,2.0,2.0,3.0,1213.0,1297.0,3.0,1297,1297,1,2.0,5,1,2.0,498.0,153000.0,0,0,0,0,0,0,0,1,0,0,0,0
5,1953,2007,0.0,2.0,2.0,3.0,731.0,1057.0,2.0,1057,1057,1,3.0,5,0,1.0,246.0,109000.0,0,0,0,0,1,0,1,0,1,0,0,0
4,1955,1955,0.0,2.0,5.0,4.0,0.0,0.0,2.0,1152,1152,2,1.0,6,0,0.0,0.0,82000.0,0,0,0,0,1,1,0,0,0,0,0,0
6,1965,1965,101.0,2.0,2.0,3.0,643.0,1088.0,4.0,1324,1324,2,2.0,6,1,2.0,440.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0
5,1959,1959,0.0,2.0,2.0,0.0,967.0,1350.0,3.0,1328,1328,1,2.0,5,2,1.0,308.0,170000.0,0,0,0,0,1,0,0,0,0,0,0,0
5,1983,1983,0.0,2.0,3.0,1.0,747.0,840.0,3.0,884,884,1,3.0,5,0,2.0,504.0,144000.0,0,0,0,0,1,0,0,0,0,0,0,0
5,1975,1980,0.0,2.0,3.0,1.0,280.0,938.0,2.0,938,938,1,2.0,5,0,1.0,308.0,130250.0,0,0,0,0,1,0,1,0,1,0,0,0
5,1959,1959,0.0,2.0,2.0,3.0,179.0,1150.0,4.0,1150,1150,1,2.0,6,0,1.0,300.0,141000.0,0,0,0,0,1,0,0,0,0,0,0,0
9,2005,2005,412.0,4.0,4.0,3.0,456.0,1752.0,4.0,1752,1752,2,4.0,6,1,2.0,576.0,319900.0,0,1,0,0,0,1,0,0,0,0,0,0
7,2003,2003,0.0,3.0,4.0,3.0,1351.0,1434.0,4.0,1518,2149,1,3.0,6,1,2.0,670.0,239686.0,0,0,0,0,1,1,0,0,0,0,0,0
8,2006,2006,0.0,3.0,3.0,1.0,24.0,1656.0,4.0,1656,1656,2,3.0,7,0,3.0,826.0,249700.0,0,0,0,0,1,1,0,0,0,0,0,0
4,1920,2008,0.0,2.0,2.0,3.0,0.0,736.0,3.0,736,1452,2,2.0,8,0,0.0,0.0,113000.0,0,0,0,0,1,0,0,0,0,0,1,1
5,1966,1966,0.0,2.0,2.0,3.0,763.0,955.0,4.0,955,955,1,2.0,6,0,1.0,386.0,127000.0,0,0,0,0,1,0,0,0,1,0,0,0
6,1997,1997,0.0,2.0,3.0,1.0,182.0,794.0,3.0,794,1470,2,2.0,6,0,2.0,388.0,177000.0,0,0,0,0,1,1,0,1,0,0,0,0
6,1934,1950,0.0,2.0,2.0,3.0,0.0,816.0,2.0,816,1176,1,2.0,6,1,2.0,528.0,114500.0,0,0,0,0,1,1,1,0,1,0,0,0
5,1963,1963,0.0,1.0,3.0,0.0,104.0,816.0,2.0,816,816,1,2.0,5,0,2.0,516.0,110000.0,0,0,0,0,1,0,0,0,1,0,0,0
9,1981,1987,0.0,3.0,4.0,0.0,1810.0,1842.0,3.0,1842,1842,0,3.0,5,1,3.0,894.0,385000.0,0,0,0,0,1,0,0,1,0,0,0,0
5,1955,1955,0.0,2.0,2.0,3.0,384.0,384.0,2.0,1360,1360,1,2.0,6,1,2.0,572.0,130000.0,0,0,0,0,1,0,1,0,1,0,0,0
6,1964,1964,272.0,2.0,2.0,3.0,490.0,1425.0,3.0,1425,1425,2,2.0,7,1,2.0,576.0,180500.0,0,0,0,0,0,0,0,0,0,0,0,0
8,1999,2000,456.0,3.0,3.0,3.0,649.0,970.0,4.0,983,1739,2,3.0,7,0,2.0,480.0,172500.0,0,0,0,0,0,1,0,1,0,0,0,0
7,2004,2004,0.0,3.0,3.0,3.0,0.0,860.0,4.0,860,1720,2,3.0,7,0,2.0,565.0,196500.0,0,0,0,0,1,1,0,0,0,0,0,0
10,2006,2006,1031.0,4.0,4.0,0.0,0.0,1410.0,4.0,1426,2945,3,3.0,10,1,3.0,641.0,438780.0,0,0,0,0,0,1,0,1,0,0,1,1
5,1972,1972,0.0,2.0,2.0,1.0,632.0,780.0,4.0,780,780,1,2.0,4,0,1.0,352.0,124900.0,0,0,0,0,1,0,1,0,1,0,0,0
6,2004,2004,0.0,2.0,3.0,3.0,941.0,1158.0,4.0,1158,1158,1,3.0,5,0,2.0,576.0,158000.0,0,0,0,0,1,1,1,0,1,0,1,1
5,1920,1996,0.0,2.0,2.0,3.0,0.0,530.0,2.0,581,1111,1,1.0,6,0,1.0,288.0,101000.0,0,0,0,0,1,0,1,0,1,0,0,0
8,2006,2006,178.0,3.0,3.0,2.0,24.0,1370.0,4.0,1370,1370,2,3.0,6,1,2.0,484.0,202500.0,0,1,0,0,0,1,0,0,0,0,0,0
7,1921,1950,0.0,2.0,2.0,3.0,0.0,576.0,3.0,902,1710,2,2.0,9,0,2.0,480.0,140000.0,0,0,0,0,1,0,1,0,1,0,0,0
7,1997,1998,573.0,2.0,3.0,3.0,739.0,1057.0,4.0,1057,2034,2,3.0,8,0,2.0,645.0,219500.0,0,0,0,0,0,1,0,0,0,0,0,0
8,2004,2005,344.0,3.0,4.0,1.0,0.0,1143.0,4.0,1143,2473,2,3.0,9,1,3.0,852.0,317000.0,0,1,0,0,0,1,0,0,0,0,0,0
7,1970,1989,287.0,2.0,3.0,0.0,912.0,1947.0,2.0,2207,2207,2,2.0,7,1,2.0,576.0,180000.0,0,0,0,0,0,0,0,0,0,0,0,0
7,2003,2003,167.0,3.0,3.0,1.0,1013.0,1453.0,4.0,1479,1479,2,3.0,7,0,2.0,558.0,226000.0,0,0,0,0,0,1,0,0,0,0,0,0
4,1945,1950,0.0,2.0,2.0,3.0,0.0,747.0,2.0,747,747,1,2.0,4,0,1.0,220.0,80000.0,0,0,0,0,1,0,0,0,1,0,0,0
7,1953,1953,0.0,3.0,2.0,3.0,603.0,1304.0,2.0,1304,2287,2,2.0,7,1,2.0,667.0,225000.0,0,0,0,0,1,0,0,1,0,0,0,0
7,1973,1973,1115.0,2.0,3.0,0.0,1880.0,2223.0,4.0,2223,2223,2,2.0,8,2,2.0,516.0,244000.0,0,0,0,0,0,0,0,1,0,0,0,0
4,1982,2006,0.0,2.0,2.0,3.0,565.0,845.0,2.0,845,845,1,2.0,4,0,2.0,360.0,129500.0,0,0,0,0,1,0,1,0,1,0,0,0
7,1998,1998,40.0,2.0,3.0,3.0,0.0,832.0,3.0,885,1718,2,2.0,7,1,2.0,427.0,185000.0,0,0,0,0,0,1,0,1,0,0,0,0
5,1954,2003,104.0,2.0,2.0,3.0,320.0,1086.0,3.0,1086,1086,1,2.0,6,0,2.0,490.0,144900.0,0,0,0,0,0,0,0,0,1,0,0,0
3,1915,1950,0.0,3.0,1.0,3.0,0.0,840.0,3.0,840,1605,2,2.0,8,0,1.0,379.0,107400.0,0,0,0,0,1,0,1,0,1,0,0,0
4,1973,1973,0.0,2.0,3.0,0.0,462.0,462.0,2.0,526,988,1,2.0,5,0,1.0,297.0,91000.0,0,0,0,0,1,0,0,0,1,0,0,0
4,1956,1956,0.0,2.0,2.0,3.0,228.0,952.0,4.0,952,952,1,2.0,4,0,1.0,283.0,135750.0,0,0,0,0,1,0,1,0,1,0,0,0
5,1948,2001,0.0,2.0,2.0,3.0,336.0,672.0,2.0,1072,1285,1,2.0,6,0,1.0,240.0,127000.0,0,0,0,0,1,0,1,0,1,0,0,0
4,1968,1968,0.0,2.0,2.0,3.0,0.0,1768.0,2.0,1768,1768,2,2.0,8,0,0.0,0.0,136500.0,0,0,0,0,1,0,0,0,0,0,0,0
5,1910,1981,0.0,2.0,2.0,3.0,0.0,440.0,3.0,682,1230,1,2.0,5,0,2.0,440.0,110000.0,0,0,0,0,1,1,1,0,1,0,0,0
6,1968,1968,576.0,2.0,3.0,3.0,448.0,896.0,2.0,1182,2142,2,3.0,8,1,1.0,509.0,193500.0,0,0,0,0,0,0,0,1,0,0,0,0
6,1998,1998,443.0,2.0,4.0,3.0,1201.0,1237.0,4.0,1337,1337,2,2.0,5,0,2.0,405.0,153500.0,0,0,0,0,0,1,0,1,0,0,0,0
8,2007,2007,468.0,2.0,3.0,3.0,33.0,1563.0,4.0,1563,1563,2,3.0,6,1,3.0,758.0,245000.0,0,0,0,0,0,1,0,0,0,0,0,0
5,1960,1960,66.0,2.0,2.0,3.0,0.0,1065.0,3.0,1065,1065,1,2.0,6,0,2.0,461.0,126500.0,0,0,0,0,0,0,1,0,1,0,0,0
7,1995,1996,22.0,2.0,3.0,3.0,0.0,384.0,3.0,804,1474,2,2.0,7,1,2.0,400.0,168500.0,0,0,0,0,0,1,0,1,0,0,0,0
8,1991,1992,284.0,3.0,3.0,3.0,0.0,1288.0,4.0,1301,2417,2,3.0,9,1,2.0,462.0,260000.0,0,0,0,0,0,0,0,0,1,0,0,0
6,2005,2005,0.0,3.0,3.0,1.0,0.0,684.0,4.0,684,1560,2,3.0,6,1,2.0,400.0,174000.0,0,0,0,0,1,1,0,1,0,0,0,0
6,2009,2009,76.0,3.0,3.0,1.0,0.0,612.0,4.0,612,1224,2,3.0,4,0,2.0,528.0,164500.0,0,0,0,0,0,1,1,0,0,0,1,1
3,1915,1982,0.0,1.0,2.0,3.0,0.0,1013.0,2.0,1013,1526,1,1.0,6,0,0.0,0.0,85000.0,0,0,0,0,1,0,0,0,0,0,0,0
4,1994,1995,0.0,2.0,3.0,3.0,588.0,990.0,4.0,990,990,1,2.0,5,0,0.0,0.0,123600.0,0,0,0,0,1,1,0,0,0,0,0,0
4,1950,1950,0.0,2.0,5.0,4.0,0.0,0.0,2.0,1040,1040,1,2.0,4,0,2.0,420.0,109900.0,0,0,0,0,1,0,1,0,1,0,0,0
5,1961,1961,203.0,2.0,2.0,3.0,600.0,1235.0,2.0,1235,1235,1,2.0,6,0,2.0,480.0,98600.0,0,0,0,0,0,0,0,0,1,0,0,0
5,1921,2006,0.0,2.0,3.0,3.0,713.0,876.0,4.0,964,964,1,2.0,5,0,2.0,432.0,163500.0,0,0,0,0,1,0,1,0,1,0,0,0
6,1910,1998,0.0,2.0,2.0,2.0,1046.0,1214.0,4.0,1260,2291,2,2.0,9,1,2.0,506.0,133900.0,0,0,0,0,1,0,1,0,1,0,0,0
6,1997,1997,0.0,2.0,3.0,3.0,648.0,824.0,4.0,905,1786,2,3.0,7,0,2.0,684.0,204750.0,0,0,0,0,1,1,0,0,0,0,0,0
6,1993,1993,68.0,4.0,3.0,3.0,310.0,680.0,3.0,680,1470,2,2.0,6,1,2.0,420.0,185000.0,0,0,0,0,0,1,0,1,0,0,0,0
7,1999,1999,183.0,3.0,3.0,1.0,1162.0,1588.0,4.0,1588,1588,2,3.0,6,0,2.0,472.0,214000.0,0,0,0,0,0,1,0,0,0,0,0,0
4,1965,1965,48.0,2.0,2.0,3.0,520.0,960.0,2.0,960,960,1,2.0,6,0,1.0,432.0,94750.0,0,0,0,0,0,0,0,1,0,0,0,0
5,1920,1950,0.0,2.0,2.0,3.0,108.0,458.0,1.0,835,835,1,2.0,5,0,1.0,366.0,83000.0,0,0,0,0,1,0,0,0,1,0,0,0
4,1959,1959,0.0,2.0,2.0,3.0,569.0,950.0,1.0,1225,1225,1,2.0,6,0,0.0,0.0,128950.0,0,0,0,0,1,0,0,0,0,0,0,0
6,1977,2001,28.0,2.0,2.0,2.0,1200.0,1610.0,3.0,1610,1610,2,3.0,6,2,2.0,480.0,205000.0,0,0,0,0,0,1,0,0,0,0,0,0
6,1985,1985,336.0,3.0,3.0,3.0,0.0,741.0,2.0,977,1732,2,3.0,7,1,2.0,476.0,178000.0,0,0,0,0,0,0,0,1,0,0,0,0
5,1979,1979,0.0,2.0,5.0,4.0,0.0,0.0,2.0,1535,1535,2,2.0,8,0,2.0,410.0,118964.0,0,0,0,0,1,0,0,0,1,0,0,0
7,2009,2009,0.0,2.0,3.0,3.0,0.0,1226.0,4.0,1226,1226,2,3.0,6,0,3.0,740.0,198900.0,0,0,0,0,1,1,0,0,0,0,0,0
7,1931,1950,600.0,2.0,2.0,3.0,224.0,1040.0,4.0,1226,1818,1,2.0,7,2,1.0,240.0,169500.0,0,0,0,0,0,1,1,0,1,0,0,0
8,2003,2004,768.0,3.0,4.0,3.0,0.0,1053.0,4.0,1053,1992,2,3.0,9,1,2.0,648.0,250000.0,0,0,0,0,0,1,0,0,0,0,0,0
4,1885,1995,0.0,2.0,1.0,3.0,0.0,641.0,3.0,1047,1047,1,2.0,6,0,1.0,273.0,100000.0,0,0,0,0,1,0,1,0,1,0,0,0
5,1948,1950,0.0,2.0,2.0,3.0,104.0,789.0,4.0,789,789,1,2.0,5,0,1.0,250.0,115000.0,0,0,0,0,1,0,1,0,1,0,0,1
5,1919,2005,0.0,2.0,2.0,3.0,0.0,793.0,2.0,997,1517,2,1.0,7,0,0.0,0.0,115000.0,0,0,0,0,1,0,0,0,0,0,0,0
6,1977,1977,480.0,2.0,3.0,3.0,705.0,1844.0,4.0,1844,1844,2,2.0,7,1,2.0,546.0,190000.0,0,0,0,0,0,0,0,0,0,0,0,0
6,1954,1972,0.0,2.0,2.0,3.0,444.0,994.0,3.0,1216,1855,2,2.0,7,0,1.0,325.0,136900.0,0,0,0,0,1,0,0,0,1,0,0,0
7,2000,2000,0.0,2.0,3.0,3.0,250.0,384.0,4.0,774,1430,2,2.0,7,1,2.0,400.0,180000.0,0,0,0,0,1,1,0,1,0,0,0,0
7,2007,2007,220.0,3.0,4.0,1.0,984.0,1264.0,4.0,1282,2696,2,4.0,10,1,3.0,792.0,383970.0,0,0,0,0,0,1,0,1,0,0,1,1
6,1953,1953,184.0,2.0,3.0,2.0,35.0,1809.0,2.0,2259,2259,2,3.0,7,2,2.0,450.0,217000.0,0,0,0,0,0,0,0,0,1,0,0,0
6,1945,2002,0.0,2.0,2.0,3.0,774.0,1028.0,4.0,1436,2320,2,3.0,9,1,1.0,180.0,259500.0,0,0,0,0,1,0,1,0,1,0,0,0
6,1999,1999,1129.0,2.0,3.0,3.0,419.0,729.0,3.0,729,1458,2,2.0,5,1,2.0,440.0,176000.0,0,0,0,0,0,1,1,0,1,0,0,0
5,1962,1962,116.0,2.0,2.0,3.0,170.0,1092.0,2.0,1092,1092,1,2.0,6,1,1.0,288.0,139000.0,0,0,0,0,0,0,0,0,1,0,0,0
5,2006,2007,0.0,2.0,3.0,3.0,0.0,1125.0,3.0,1125,1125,1,2.0,5,0,2.0,430.0,155000.0,0,0,0,0,1,1,0,0,1,0,1,1
7,1990,1990,0.0,2.0,3.0,2.0,1470.0,1673.0,3.0,1699,3222,3,3.0,11,2,3.0,594.0,320000.0,0,0,0,0,1,1,0,0,1,0,0,0
6,2005,2006,0.0,3.0,3.0,3.0,0.0,728.0,4.0,728,1456,2,3.0,8,1,2.0,390.0,163990.0,0,0,0,0,1,1,0,1,0,0,1,1
6,1969,1969,0.0,2.0,2.0,0.0,938.0,938.0,4.0,988,988,1,2.0,4,2,2.0,540.0,180000.0,0,0,0,0,1,0,0,0,1,0,0,0
4,1939,1950,0.0,2.0,2.0,3.0,0.0,732.0,3.0,772,1123,1,2.0,4,0,1.0,264.0,100000.0,0,0,0,0,1,1,1,0,1,0,0,0
6,1958,1958,135.0,2.0,2.0,3.0,570.0,1080.0,3.0,1080,1080,1,2.0,5,0,1.0,288.0,136000.0,0,0,0,0,0,0,0,0,1,0,0,0
6,1993,1993,0.0,3.0,3.0,3.0,300.0,1199.0,4.0,1199,1199,2,3.0,5,0,2.0,530.0,153900.0,0,0,0,0,1,1,0,0,0,0,0,0
6,1979,1998,0.0,2.0,3.0,3.0,0.0,1362.0,2.0,1586,1586,2,2.0,7,1,2.0,435.0,181000.0,0,0,0,0,1,0,0,0,1,0,0,0
6,1935,1982,0.0,2.0,2.0,1.0,490.0,520.0,3.0,520,754,1,2.0,5,0,0.0,0.0,84500.0,0,0,0,0,1,0,0,0,0,0,0,0
6,1976,1976,0.0,2.0,3.0,3.0,120.0,1078.0,2.0,958,958,2,2.0,5,1,2.0,440.0,128000.0,0,0,0,0,1,0,0,0,0,0,0,0
5,1930,1950,0.0,2.0,2.0,3.0,116.0,672.0,4.0,840,840,1,2.0,5,1,0.0,0.0,87000.0,0,0,0,0,1,0,0,0,0,0,0,0
6,1966,1966,266.0,2.0,2.0,3.0,512.0,660.0,2.0,660,1348,1,2.0,6,1,2.0,453.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0
5,1958,1991,85.0,2.0,2.0,3.0,567.0,1008.0,2.0,1053,1053,1,4.0,6,0,2.0,750.0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0
7,1966,1966,309.0,2.0,2.0,3.0,445.0,924.0,4.0,1216,2157,2,3.0,8,2,2.0,487.0,226000.0,0,0,0,0,0,0,0,1,0,0,0,0
6,2000,2000,40.0,3.0,3.0,3.0,695.0,992.0,4.0,1022,2054,2,3.0,7,1,2.0,390.0,244000.0,0,0,0,0,0,1,0,0,0,0,0,0
5,1959,2002,0.0,2.0,2.0,3.0,405.0,1063.0,3.0,1327,1327,1,3.0,7,0,2.0,624.0,150750.0,0,0,0,0,1,0,1,0,1,0,0,0
8,2001,2002,136.0,3.0,4.0,3.0,1005.0,1267.0,4.0,1296,1296,2,3.0,6,0,2.0,471.0,220000.0,0,0,0,0,0,1,0,1,0,0,0,0
5,1968,1993,0.0,2.0,2.0,3.0,570.0,1461.0,3.0,1721,1721,2,2.0,7,1,2.0,440.0,180000.0,0,0,0,0,1,0,0,0,0,0,0,0
7,1970,1970,288.0,2.0,2.0,3.0,0.0,1304.0,3.0,1682,1682,2,2.0,7,1,2.0,530.0,174000.0,0,0,0,0,0,1,0,0,1,0,0,0
5,1967,1967,196.0,2.0,2.0,3.0,695.0,1214.0,2.0,1214,1214,2,2.0,5,1,1.0,318.0,143000.0,0,0,0,0,0,0,0,0,0,0,0,0
7,1988,1989,70.0,2.0,2.0,3.0,0.0,1907.0,3.0,1959,1959,3,2.0,9,0,3.0,766.0,171000.0,0,0,0,0,0,0,0,0,1,0,0,0
8,1999,2000,320.0,3.0,3.0,2.0,668.0,1004.0,4.0,1004,1852,2,3.0,7,2,3.0,660.0,230000.0,0,0,0,0,0,1,0,1,0,0,0,0
6,1997,1997,0.0,2.0,3.0,3.0,821.0,928.0,4.0,928,1764,2,3.0,7,0,2.0,470.0,231500.0,0,0,0,0,1,1,0,0,0,0,0,0
4,1971,1971,0.0,2.0,2.0,3.0,432.0,864.0,2.0,864,864,1,2.0,5,1,0.0,0.0,115000.0,0,0,0,0,1,0,0,0,0,0,0,0
7,2005,2005,0.0,3.0,3.0,1.0,1300.0,1734.0,4.0,1734,1734,2,3.0,7,0,2.0,660.0,260000.0,0,0,0,0,1,1,0,1,0,0,0,0
5,1952,1952,0.0,2.0,2.0,3.0,507.0,910.0,1.0,910,1385,2,2.0,6,0,2.0,720.0,166000.0,0,0,0,0,1,0,1,0,1,0,0,0
7,1999,1999,183.0,3.0,3.0,0.0,679.0,1490.0,4.0,1501,1501,2,3.0,6,0,2.0,577.0,204000.0,0,0,0,0,0,1,0,0,0,0,0,0
5,1963,1963,336.0,2.0,2.0,3.0,1332.0,1728.0,2.0,1728,1728,2,2.0,10,0,2.0,504.0,125000.0,0,0,0,0,0,0,1,0,1,0,0,0
6,2004,2006,50.0,3.0,3.0,3.0,0.0,970.0,4.0,970,1709,2,3.0,7,0,2.0,380.0,130000.0,0,0,0,0,0,1,1,0,1,0,0,0
5,1931,1993,0.0,2.0,2.0,3.0,209.0,715.0,2.0,875,875,1,2.0,5,0,1.0,180.0,105000.0,0,0,0,0,1,0,1,0,1,0,0,0
7,2001,2001,180.0,3.0,3.0,3.0,0.0,884.0,4.0,884,2035,2,3.0,8,1,2.0,434.0,222500.0,0,0,0,0,0,1,0,1,0,0,0,0
7,2004,2005,120.0,2.0,3.0,3.0,680.0,1080.0,4.0,1080,1080,1,3.0,6,0,0.0,0.0,141000.0,0,0,0,0,0,1,0,0,0,0,0,0
5,1936,1950,0.0,2.0,3.0,3.0,0.0,896.0,3.0,896,1344,1,2.0,7,0,1.0,240.0,115000.0,0,0,0,0,1,0,1,0,1,0,0,0
5,1975,1975,0.0,2.0,2.0,1.0,716.0,969.0,2.0,969,969,1,2.0,5,0,2.0,440.0,122000.0,0,0,0,0,1,0,0,0,1,0,0,0
